Date,Frequency
2016-06-27,1
2016-08-10,5
2016-10-11,1
2016-10-27,1
2017-01-14,1
2017-02-07,1
2017-02-08,1
2017-02-10,1
2017-02-15,1
2017-02-17,1
2017-02-27,1
2017-02-28,2
2017-03-02,2
2017-03-11,1
2017-03-18,1
2020-12-11,2
2021-01-11,1
2021-01-13,1
2021-01-14,1
2021-11-03,1
2021-12-18,1
2022-04-15,1
2022-09-09,1
2023-04-26,1
2023-04-27,1
2023-05-04,1
2023-05-19,1
2023-05-29,1
2023-06-11,1
2023-06-26,1
2023-09-07,1
2023-10-11,1
2023-10-30,3
2023-11-08,1
2023-11-10,1
2023-11-21,1
2023-12-01,1
2023-12-22,1
2023-12-28,1
2024-01-09,1
2024-01-23,1
2024-01-25,1
2024-02-09,2
2024-02-13,1
2024-03-05,1
2024-03-19,1
2024-04-02,1
2024-04-03,1
2024-04-04,1
2024-04-05,1
2024-04-09,1
2024-04-10,1
2024-04-11,1
2024-04-12,1
2024-04-16,1
2024-04-17,1
2024-04-22,1
2024-04-24,1
2024-04-26,1
2024-04-30,2
2024-05-03,1
2024-05-09,1
2024-05-14,2
2024-05-15,1
2024-05-16,1
2024-05-23,1
2024-05-28,1
2024-05-29,1
2024-05-31,1
2024-06-04,1
2024-06-10,1
2024-06-11,3
2024-06-12,1
2024-06-14,1
2024-06-18,1
2024-06-19,1
2024-06-20,1
2024-06-21,1
2024-06-23,1
2024-06-24,1
2024-06-25,1
2024-06-26,1
2024-06-27,1
2024-07-02,1
2024-07-09,1
2024-07-10,1
2024-07-12,3
2024-07-15,1
2024-07-16,1
2024-07-17,1
2024-07-18,1
2024-07-23,1
2024-07-30,1
2024-08-01,1
2024-08-12,1
2024-08-13,1
2024-08-14,1
2024-08-16,1
2024-08-19,1
2024-08-20,1
2024-08-21,1
2024-08-23,1
2024-08-26,1
2024-08-27,2
2024-08-29,1
2024-09-06,1
2024-09-09,1
2024-09-11,1
2024-09-12,1
2024-09-16,1
2024-09-17,1
2024-09-20,1
2024-09-24,1
2024-09-26,1
2024-09-27,1
2024-09-30,1
2024-10-01,1
2024-10-04,1
2024-10-08,2
2024-10-15,1
2024-10-17,1
2024-10-18,1
2024-10-21,1
2024-10-22,2
2024-10-23,1
2024-10-24,2
2024-10-29,1
2024-10-30,1
2024-10-31,1
2024-11-01,2
2024-11-04,1
2024-11-06,1
2024-11-08,1
