Date,Frequency
2016-08-12,1
2016-08-15,1
2016-08-18,1
2016-08-24,1
2016-08-25,1
2016-08-28,1
2016-08-29,1
2016-08-31,1
2016-09-01,1
2016-09-08,1
2016-09-20,1
2016-10-14,1
2016-10-24,1
2016-10-25,1
2016-11-02,1
2016-11-03,1
2017-01-18,1
2017-01-25,2
2017-03-13,1
2017-03-15,2
2017-03-17,1
2017-03-20,1
2017-03-30,1
2017-04-04,1
2017-04-05,1
2017-04-10,1
2017-04-11,1
2017-04-13,1
2017-04-16,1
2017-05-09,1
2017-05-11,1
2017-05-30,1
2017-05-31,1
2017-06-04,1
2017-06-06,1
2017-06-07,1
2017-06-09,1
2017-06-11,1
2017-07-16,1
2017-07-18,1
2017-07-21,1
2017-07-24,1
2017-07-25,2
2017-07-26,1
2017-07-27,1
2017-08-13,1
2017-08-15,1
2017-08-16,1
2017-08-24,1
2017-08-28,1
2017-09-03,1
2017-09-14,1
2017-09-16,1
2017-09-18,1
2017-09-20,1
2017-10-22,1
2017-10-25,1
2017-10-26,1
2017-10-28,1
2017-10-30,1
2017-11-08,1
2017-11-09,1
2017-11-19,1
2017-11-22,1
2017-11-27,2
2017-12-01,2
2017-12-04,1
2017-12-07,1
2017-12-14,1
2017-12-18,1
2018-01-19,1
2018-01-25,1
2018-01-29,1
2018-04-19,2
2018-04-21,1
2018-04-23,1
2018-04-24,1
2018-04-26,1
2018-04-28,2
2018-04-29,1
2018-05-01,1
2018-05-02,1
2018-05-04,1
2018-05-05,1
2018-05-06,1
2018-05-08,1
2018-05-13,1
2018-06-22,1
2018-08-19,1
2018-08-24,2
2018-08-25,1
2018-08-26,1
2018-08-30,1
2018-09-04,1
2018-09-05,1
2018-09-07,2
2018-09-10,2
2018-09-11,1
2018-09-14,1
2018-09-16,1
2018-09-17,2
2018-09-18,2
2018-09-20,1
2018-09-21,1
2018-09-23,2
2018-09-24,1
2018-09-26,1
2018-09-27,2
2018-10-04,1
2018-11-23,1
2018-11-25,2
2018-11-29,1
2018-12-01,1
2018-12-02,1
2018-12-03,1
2018-12-04,1
2018-12-05,2
2018-12-06,1
2018-12-07,1
2018-12-08,1
2018-12-09,1
2018-12-10,2
2018-12-11,2
2018-12-14,1
2018-12-17,1
2018-12-20,1
2018-12-24,1
2018-12-28,1
2018-12-30,1
2018-12-31,1
2019-01-04,1
2019-01-06,1
2019-01-07,1
2019-01-10,1
2019-01-11,1
2019-01-13,1
2019-01-14,1
2019-01-15,1
2019-01-21,1
2019-01-28,1
2019-02-22,1
2019-02-24,1
2019-02-26,1
2019-02-27,1
2019-03-18,1
2019-03-20,1
2019-03-22,1
2019-03-28,3
2019-04-03,1
2019-04-06,1
2019-04-08,2
2019-04-15,1
2019-04-18,1
2019-04-23,1
2019-04-24,1
2019-05-03,1
2019-05-14,2
2019-05-15,2
2019-05-16,1
2019-05-17,1
2019-05-19,1
2019-05-20,1
2019-05-25,1
2019-05-30,1
2019-06-10,1
2019-06-12,2
2020-04-23,1
2020-05-14,1
2020-06-12,1
2020-07-07,1
2020-07-20,1
2020-07-27,1
2020-08-14,1
2020-08-21,1
2020-08-22,1
2020-08-24,1
2020-10-26,1
2020-11-04,1
2020-11-06,1
2020-11-30,1
2020-12-23,1
2020-12-24,1
2020-12-25,1
2021-01-21,2
2021-01-22,3
2021-01-30,1
2021-02-02,2
2021-02-03,6
2021-02-04,1
2021-02-05,2
2021-02-08,2
2021-02-09,2
2021-02-11,1
2021-02-13,1
2021-03-07,1
2021-04-16,1
2021-04-17,1
2021-04-19,1
2021-05-19,1
2021-05-24,4
2021-05-25,5
2021-05-27,1
2021-06-29,1
2021-07-06,1
2021-08-06,1
2021-08-13,1
2021-09-09,1
2021-09-10,2
2021-10-23,1
2021-10-25,1
2021-11-01,1
2021-12-15,1
2021-12-24,1
2022-02-08,1
2022-02-24,2
2022-02-26,1
2022-02-27,2
2022-03-02,2
2022-03-22,1
2022-04-01,2
2022-04-02,1
2022-04-03,1
2022-04-16,1
2022-04-17,1
2022-04-18,1
2022-04-19,1
2022-04-20,1
2022-04-21,1
2022-04-23,1
2022-05-09,1
2022-05-11,1
2022-05-12,2
2022-05-17,2
2022-05-19,1
2022-05-30,1
2022-06-13,1
2022-06-20,1
2022-06-24,1
2022-07-06,1
2022-07-08,1
2022-07-14,1
2022-07-16,2
2022-07-18,1
2022-07-19,2
2022-07-25,1
2022-07-26,1
2022-07-31,1
2022-08-04,1
2022-08-11,1
2022-08-12,1
2022-08-17,2
2022-08-21,1
2022-08-22,2
2022-08-23,2
2022-08-24,1
2022-08-29,1
2022-08-30,1
2022-09-07,1
2022-09-23,1
2022-09-28,1
2022-10-10,1
2022-10-11,1
2022-10-18,1
2022-10-19,1
